,league,league_level,country,continent,num_operators_day,date,start_time,year,months,rank_week,day,weekday,day_time,freq_weekday_day_time,freq_rank_week_day_time,freq_month_day_time,start_time_interval,GLnum_matches_interval,Totlnum_match_y_m_wd_int,issue
125,Portugal I Diviṣo Women,4,Portugal,Europe,7,2022-02-01,9:00:00 PM,2022,Feb,1,1,Tuesday,night,12,77,50,20:00 - 21:59,1,8,1
126,Iceland Cup,4,Iceland,Europe,4,2022-02-26,8:00:00 PM,2022,Feb,4,26,Saturday,night,15,42,50,20:00 - 21:59,1,75,0
127,Portugal I Diviṣo,4,Portugal,Europe,6,2021-02-26,9:00:00 PM,2021,Feb,4,26,Friday,night,53,42,50,20:00 - 21:59,1,14,0
128,Iceland Mizunodeild KK,3,Iceland,Europe,6,2021-02-24,8:00:00 PM,2021,Feb,4,24,Wednesday,night,74,42,50,20:00 - 21:59,2,27,0
129,Iceland Mizunodeild KK,3,Iceland,Europe,6,2021-02-24,8:15:00 PM,2021,Feb,4,24,Wednesday,night,74,42,50,20:00 - 21:59,2,27,0
130,Portugal I Diviṣo Women,4,Portugal,Europe,6,2021-02-25,9:00:00 PM,2021,Feb,4,25,Thursday,night,11,42,50,20:00 - 21:59,2,12,1
131,Iceland Mizunodeild Women,4,Iceland,Europe,6,2021-02-25,8:00:00 PM,2021,Feb,4,25,Thursday,night,11,42,50,20:00 - 21:59,2,12,0
132,Portugal I Diviṣo Women,4,Portugal,Europe,5,2022-02-20,8:30:00 PM,2022,Feb,3,20,Sunday,night,21,40,50,20:00 - 21:59,1,60,0
133,Portugal I Diviṣo,4,Portugal,Europe,7,2022-02-18,9:00:00 PM,2022,Feb,3,18,Friday,night,53,40,50,20:00 - 21:59,4,44,0
134,Iceland Mizunodeild Women,4,Iceland,Europe,7,2022-02-18,8:00:00 PM,2022,Feb,3,18,Friday,night,53,40,50,20:00 - 21:59,4,44,0
135,Iceland Mizunodeild KK,3,Iceland,Europe,7,2022-02-18,8:00:00 PM,2022,Feb,3,18,Friday,night,53,40,50,20:00 - 21:59,4,44,0
136,Portugal Cup Women,4,Portugal,Europe,7,2022-02-18,9:00:00 PM,2022,Feb,3,18,Friday,night,53,40,50,20:00 - 21:59,4,44,0
137,Iceland Mizunodeild KK,3,Iceland,Europe,7,2021-02-19,8:00:00 PM,2021,Feb,3,19,Friday,night,53,40,50,20:00 - 21:59,2,14,0
138,Iceland Cup,4,Iceland,Europe,7,2021-02-19,8:00:00 PM,2021,Feb,3,19,Friday,night,53,40,50,20:00 - 21:59,2,14,0
139,Portugal I Diviṣo,4,Portugal,Europe,8,2022-02-23,8:00:00 PM,2022,Feb,3,23,Wednesday,night,74,40,50,20:00 - 21:59,5,34,0
140,Iceland Mizunodeild Women,4,Iceland,Europe,8,2022-02-23,8:15:00 PM,2022,Feb,3,23,Wednesday,night,74,40,50,20:00 - 21:59,5,34,0
141,Iceland Mizunodeild KK,3,Iceland,Europe,8,2022-02-23,8:00:00 PM,2022,Feb,3,23,Wednesday,night,74,40,50,20:00 - 21:59,5,34,0
142,Portugal Cup,4,Portugal,Europe,8,2022-02-23,9:00:00 PM,2022,Feb,3,23,Wednesday,night,74,40,50,20:00 - 21:59,5,34,1
143,Portugal Cup Women,4,Portugal,Europe,8,2022-02-23,8:45:00 PM,2022,Feb,3,23,Wednesday,night,74,40,50,20:00 - 21:59,5,34,0
144,Portugal I Diviṣo,4,Portugal,Europe,5,2021-02-17,8:00:00 PM,2021,Feb,3,17,Wednesday,night,74,40,50,20:00 - 21:59,4,27,0
145,Iceland Mizunodeild Women,4,Iceland,Europe,5,2021-02-17,8:00:00 PM,2021,Feb,3,17,Wednesday,night,74,40,50,20:00 - 21:59,4,27,0
146,Iceland Mizunodeild Women,4,Iceland,Europe,5,2021-02-17,8:00:00 PM,2021,Feb,3,17,Wednesday,night,74,40,50,20:00 - 21:59,4,27,0
147,Iceland Mizunodeild KK,3,Iceland,Europe,5,2021-02-17,8:00:00 PM,2021,Feb,3,17,Wednesday,night,74,40,50,20:00 - 21:59,4,27,0
148,Portugal I Diviṣo Women,4,Portugal,Europe,5,2021-02-23,9:00:00 PM,2021,Feb,3,23,Tuesday,night,12,40,50,20:00 - 21:59,1,9,1
149,Portugal I Diviṣo,4,Portugal,Europe,10,2022-02-21,8:00:00 PM,2022,Feb,3,21,Monday,night,7,40,50,20:00 - 21:59,2,20,0
150,Denmark Volleyligaen Women,3,Denmark,Europe,10,2022-02-21,8:30:00 PM,2022,Feb,3,21,Monday,night,7,40,50,20:00 - 21:59,2,20,1
151,Portugal I Diviṣo,4,Portugal,Europe,6,2022-02-17,9:00:00 PM,2022,Feb,3,17,Thursday,night,11,40,50,20:00 - 21:59,1,22,0
