,match_id,venue_id,league,classification,country,continent,num_operators_day,date,start_time,year,months,rank_week,day,weekday,day_time,freq_weekday_day_time,freq_rank_week_day_time,freq_month_day_time,2h_interval,GLnum_matches_interval,Totalnum_matches_interval,issue
120,43852305,129753,Portugal I Divisão,4,Portugal,Europe,9,2022-02-02,9:00:00 PM,2022,Feb,1,2,Wednesday,night,74,77,50,20:00 - 21:59,12,34,0
121,43841265,129779,Portugal I Divisão,4,Portugal,Europe,9,2022-02-02,9:00:00 PM,2022,Feb,1,2,Wednesday,night,74,77,50,20:00 - 21:59,12,34,0
122,27828510,128752,Iceland Mizunodeild KK,3,Iceland,Europe,5,2021-02-03,8:00:00 PM,2021,Feb,1,3,Wednesday,night,74,77,50,20:00 - 21:59,14,27,0
123,27828525,128804,Iceland Mizunodeild KK,3,Iceland,Europe,5,2021-02-03,8:15:00 PM,2021,Feb,1,3,Wednesday,night,74,77,50,20:00 - 21:59,14,27,0
124,27816975,129779,Portugal Cup,4,Portugal,Europe,5,2021-02-03,8:00:00 PM,2021,Feb,1,3,Wednesday,night,74,77,50,20:00 - 21:59,14,27,1
125,44241840,130715,Portugal I Divisão Women,4,Portugal,Europe,7,2022-02-01,9:00:00 PM,2022,Feb,1,1,Tuesday,night,12,77,50,20:00 - 21:59,1,8,1
126,44392395,143455,Iceland Cup,4,Iceland,Europe,4,2022-02-26,8:00:00 PM,2022,Feb,4,26,Saturday,night,15,42,50,20:00 - 21:59,7,75,0
127,25865430,129701,Portugal I Divisão,4,Portugal,Europe,6,2021-02-26,9:00:00 PM,2021,Feb,4,26,Friday,night,53,42,50,20:00 - 21:59,6,14,0
128,27252030,128713,Iceland Mizunodeild KK,3,Iceland,Europe,6,2021-02-24,8:00:00 PM,2021,Feb,4,24,Wednesday,night,74,42,50,20:00 - 21:59,14,27,0
129,27828660,128804,Iceland Mizunodeild KK,3,Iceland,Europe,6,2021-02-24,8:15:00 PM,2021,Feb,4,24,Wednesday,night,74,42,50,20:00 - 21:59,14,27,0
130,28955130,130559,Portugal I Divisão Women,4,Portugal,Europe,6,2021-02-25,9:00:00 PM,2021,Feb,4,25,Thursday,night,11,42,50,20:00 - 21:59,3,12,1
131,27826770,128752,Iceland Mizunodeild Women,4,Iceland,Europe,6,2021-02-25,8:00:00 PM,2021,Feb,4,25,Thursday,night,11,42,50,20:00 - 21:59,3,12,0
132,44240565,129766,Portugal I Divisão Women,4,Portugal,Europe,5,2022-02-20,8:30:00 PM,2022,Feb,3,20,Sunday,night,21,40,50,20:00 - 21:59,2,60,0
133,42603165,141622,Portugal I Divisão,4,Portugal,Europe,7,2022-02-18,9:00:00 PM,2022,Feb,3,18,Friday,night,53,40,50,20:00 - 21:59,19,44,0
134,34907445,128843,Iceland Mizunodeild Women,4,Iceland,Europe,7,2022-02-18,8:00:00 PM,2022,Feb,3,18,Friday,night,53,40,50,20:00 - 21:59,19,44,0
135,34906635,130520,Iceland Mizunodeild KK,3,Iceland,Europe,7,2022-02-18,8:00:00 PM,2022,Feb,3,18,Friday,night,53,40,50,20:00 - 21:59,19,44,0
136,45057360,129714,Portugal Cup Women,4,Portugal,Europe,7,2022-02-18,9:00:00 PM,2022,Feb,3,18,Friday,night,53,40,50,20:00 - 21:59,19,44,0
